,Latin name,Polish name,Category,Status
392,Saxicola rubetra,pokląskwa,A,L
393,Saxicola maurus,kląskawka syberyjska,A,z
394,Saxicola rubicola,kląskawka,A,L
395,Oenanthe oenanthe,białorzytka,A,L
396,Oenanthe isabellina,białorzytka płowa,A,Z
397,Oenanthe deserti,białorzytka pustynna,A,z
398,Oenanthe pleschanka,białorzytka pstra,A,z
399,Oenanthe leucopyga,białorzytka saharyjska,A,z
400,Zoothera aurea,drozdoń tajgowy,A,Z
401,Geokichla sibirica,drozdaczek ciemny,A,Z
402,Turdus viscivorus,paszkot,A,L
403,Turdus philomelos,śpiewak,A,L
404,Turdus iliacus,droździk,A,L
405,Turdus merula,kos,A,L
406,Turdus obscurus,drozd oliwkowy,A,Z
407,Turdus pilaris,kwiczoł,A,L
408,Turdus torquatus,drozd obrożny,A,L
409,Turdus naumanni,drozd rdzawy,A,z
410,Turdus eunomus,drozd rdzawoskrzydły,A,z
411,Turdus atrogularis,drozd czarnogardły,A,Z
412,Turdus ruficollis,drozd rdzawogardły,A,z
413,Prunella collaris,płochacz halny,A,L
414,Prunella montanella,płochacz syberyjski,A,Z
415,Prunella atrogularis,płochacz czarnogardły,A,z
416,Prunella modularis,pokrzywnica,A,L
417,Passer domesticus,wróbel,A,L
418,Passer montanus,mazurek,A,L
419,Petronia petronia,wróbel skalny,B,(l z)
420,Montifringilla nivalis,śnieżka,A,z
421,Anthus trivialis,świergotek drzewny,A,L
422,Anthus hodgsoni,świergotek tajgowy,A,Z
423,Anthus cervinus,świergotek rdzawogardły,A,P
424,Anthus pratensis,świergotek łąkowy,A,L
425,Anthus spinoletta,siwerniak,A,L
426,Anthus petrosus,świergotek nadmorski,A,P
427,Anthus richardi,świergotek szponiasty,A,Z
428,Anthus godlewskii,świergotek stepowy,A,z
429,Anthus campestris,świergotek polny,A,L
430,Motacilla flava,pliszka żółta,A,L
431,Motacilla tschutschensis,pliszka syberyjska,A,z
432,Motacilla cinerea,pliszka górska,A,L
433,Motacilla citreola,pliszka cytrynowa,A,L P
434,Motacilla alba,pliszka siwa,A,L
435,Fringilla coelebs,zięba,A,L
436,Fringilla montifringilla,jer,A,P
437,Coccothraustes coccothraustes,grubodziób,A,L
438,Carpodacus erythrinus,dziwonia,A,L
439,Pinicola enucleator,łuskowiec,A,Z
440,Pyrrhula pyrrhula,gil,A,L
441,Bucanetes githagineus,gilak pustynny,A,z
442,Chloris chloris,dzwoniec,A,L
443,Linaria cannabina,makolągwa,A,L
444,Linaria flavirostris,rzepołuch,A,P
445,Acanthis cabaret,czeczotka brązowa,A,L
446,Acanthis flammea,czeczotka,A,P
447,Acanthis hornemanni,czeczotka tundrowa,A,Z
448,Loxia pytyopsittacus,krzyżodziób sosnowy,A,(l) Z
449,Loxia curvirostra,krzyżodziób świerkowy,A,L
450,Loxia leucoptera,krzyżodziób modrzewiowy,A,Z
451,Carduelis carduelis,szczygieł,A,L
452,Carduelis citrinella,osetnik,A,z
453,Serinus serinus,kulczyk,A,L
454,Spinus spinus,czyż,A,L
455,Calcarius lapponicus,poświerka,A,P
456,Plectrophenax nivalis,śnieguła,A,P
457,Emberiza calandra,potrzeszcz,A,L
458,Emberiza citrinella,trznadel,A,L
459,Emberiza leucocephalos,trznadel białogłowy,A,(l) z
460,Emberiza cia,głuszek,A,z
461,Emberiza hortulana,ortolan,A,L
462,Emberiza cirlus,cierlik,A,z
463,Emberiza pusilla,trznadelek,A,Z
464,Emberiza chrysophrys,trznadel złotobrewy,A,z
465,Emberiza rustica,trznadel czubaty,A,Z
466,Emberiza aureola,trznadel złotawy,A,z
467,Emberiza melanocephala,trznadel czarnogłowy,A,z
468,Emberiza bruniceps,trznadel rudogłowy,A,z
469,Emberiza spodocephala,trznadel szarogłowy,A,z
470,Emberiza schoeniclus,potrzos,A,L
471,Junco hyemalis,junko,A,z
472,Passerculus sandwichensis,bagiennik żółtobrewy,A,z
